variant,grid,seed,timesteps,updates,episodes,final_avg_50,success_rate,avg_eval_reward,avg_eval_steps,checkpoint
gae_099,restaurant_delivery_grid,2,0.02,0.99,0.2,1024,128,100000,98,541,14.048800000000018,1.0,19.759200000000003,10.1,out\ppo_experiments\ppo_gae_099_restaurant_delivery_grid_seed2.pt
clip_01,restaurant_delivery_grid,0,0.02,0.95,0.1,1024,128,100000,98,628,16.055600000000013,1.0,19.2088,37.62,out\ppo_experiments\ppo_clip_01_restaurant_delivery_grid_seed0.pt
clip_01,restaurant_delivery_grid,1,0.02,0.95,0.1,1024,128,100000,98,675,16.53280000000001,1.0,19.76,10.06,out\ppo_experiments\ppo_clip_01_restaurant_delivery_grid_seed1.pt
clip_01,restaurant_delivery_grid,2,0.02,0.95,0.1,1024,128,100000,98,606,16.825200000000006,1.0,19.759200000000003,10.1,out\ppo_experiments\ppo_clip_01_restaurant_delivery_grid_seed2.pt
clip_02,restaurant_delivery_grid,0,0.02,0.95,0.2,1024,128,100000,98,805,16.14400000000001,1.0,19.736,11.26,out\ppo_experiments\ppo_clip_02_restaurant_delivery_grid_seed0.pt
clip_02,restaurant_delivery_grid,1,0.02,0.95,0.2,1024,128,100000,98,767,16.682800000000007,1.0,19.76,10.06,out\ppo_experiments\ppo_clip_02_restaurant_delivery_grid_seed1.pt
clip_02,restaurant_delivery_grid,2,0.02,0.95,0.2,1024,128,100000,98,821,18.1068,1.0,19.760800000000003,10.02,out\ppo_experiments\ppo_clip_02_restaurant_delivery_grid_seed2.pt
clip_03,restaurant_delivery_grid,0,0.02,0.95,0.3,1024,128,100000,98,935,17.4204,1.0,19.7596,10.08,out\ppo_experiments\ppo_clip_03_restaurant_delivery_grid_seed0.pt
clip_03,restaurant_delivery_grid,1,0.02,0.95,0.3,1024,128,100000,98,957,18.1184,1.0,19.7604,10.04,out\ppo_experiments\ppo_clip_03_restaurant_delivery_grid_seed1.pt
clip_03,restaurant_delivery_grid,2,0.02,0.95,0.3,1024,128,100000,98,1089,18.4124,1.0,19.7376,11.18,out\ppo_experiments\ppo_clip_03_restaurant_delivery_grid_seed2.pt
hidden_64,restaurant_delivery_grid,0,0.02,0.95,0.2,1024,64,100000,98,623,17.116800000000005,1.0,19.7604,10.04,out\ppo_experiments\ppo_hidden_64_restaurant_delivery_grid_seed0.pt
hidden_64,restaurant_delivery_grid,1,0.02,0.95,0.2,1024,64,100000,98,645,16.180800000000012,1.0,19.66,11.14,out\ppo_experiments\ppo_hidden_64_restaurant_delivery_grid_seed1.pt
hidden_64,restaurant_delivery_grid,2,0.02,0.95,0.2,1024,64,100000,98,716,17.114800000000006,1.0,19.760000000000005,10.06,out\ppo_experiments\ppo_hidden_64_restaurant_delivery_grid_seed2.pt
hidden_128,restaurant_delivery_grid,0,0.02,0.95,0.2,1024,128,100000,98,805,16.14400000000001,1.0,19.736,11.26,out\ppo_experiments\ppo_hidden_128_restaurant_delivery_grid_seed0.pt
hidden_128,restaurant_delivery_grid,1,0.02,0.95,0.2,1024,128,100000,98,767,16.682800000000007,1.0,19.76,10.06,out\ppo_experiments\ppo_hidden_128_restaurant_delivery_grid_seed1.pt
hidden_128,restaurant_delivery_grid,2,0.02,0.95,0.2,1024,128,100000,98,821,18.1068,1.0,19.760800000000003,10.02,out\ppo_experiments\ppo_hidden_128_restaurant_delivery_grid_seed2.pt
hidden_256,restaurant_delivery_grid,0,0.02,0.95,0.2,1024,256,100000,98,946,17.335600000000003,1.0,19.7596,10.08,out\ppo_experiments\ppo_hidden_256_restaurant_delivery_grid_seed0.pt
hidden_256,restaurant_delivery_grid,1,0.02,0.95,0.2,1024,256,100000,98,878,17.321600000000004,1.0,19.3124,32.44,out\ppo_experiments\ppo_hidden_256_restaurant_delivery_grid_seed1.pt
hidden_256,restaurant_delivery_grid,2,0.02,0.95,0.2,1024,256,100000,98,948,17.334400000000002,1.0,19.760000000000005,10.06,out\ppo_experiments\ppo_hidden_256_restaurant_delivery_grid_seed2.pt
